held(N1),held(N2),"transfer(E1,N1)","transfer(E1,N2)","transfer(E2,N1)","transfer(E2,N2)","locked(E1,N1)","locked(E1,N2)","locked(E2,N1)","locked(E2,N2)","le(E1,ep(N1))","le(E2,ep(N1))","le(ep(N1),ep(N2))","le(ep(N2),ep(N1))","le(E1,ep(N2))","le(E2,ep(N2))",first=N1,first=N2
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1
1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0
0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1
1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1
0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1
1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1
0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
