leader(N1),leader(N2),leader(N3),"pending(I1,N1)","pending(I1,N2)","pending(I1,N3)","pending(I2,N1)","pending(I2,N2)","pending(I2,N3)","pending(I3,N1)","pending(I3,N2)","pending(I3,N3)","ring.btw(N1,N2,N3)"
0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,1,1,0
0,0,0,0,0,1,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,1,0,0,1
0,0,1,0,0,1,1,0,0,1,1,1,0
0,0,1,0,1,0,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,0,0,1,1,1,0,1
0,0,0,0,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,1,1,1,1,0
0,0,0,0,0,1,1,0,1,1,1,0,0
0,0,0,0,0,1,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,0,0
0,0,0,0,0,0,1,0,1,1,1,0,0
0,0,0,0,0,1,1,0,0,1,1,1,0
0,0,0,0,0,1,1,0,1,1,1,1,0
0,0,1,0,0,1,1,0,1,1,1,1,0
0,0,0,0,0,1,1,0,1,0,1,0,0
0,0,1,0,1,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,0,1,1,1,0
0,0,1,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0,1,0,0,0,1
