vote_yes(N1),vote_yes(N2),vote_no(N1),vote_no(N2),alive(N1),alive(N2),go_commit(N1),go_commit(N2),go_abort(N1),go_abort(N2),decide_commit(N1),decide_commit(N2),decide_abort(N1),decide_abort(N2),abort_flag
1,1,0,0,0,0,1,1,0,0,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1,0,0,1,1,0,0,0,1,1
1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,1,1,0,0,0,1,1
1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
1,1,0,0,1,1,0,0,1,1,0,0,1,1,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1,0,0,0,1,0,0,1,1,0,0,1,1,1
0,0,1,0,1,0,0,0,1,1,0,0,1,1,1
0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,1,1,0,0,1,1,1
1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
0,1,1,0,1,1,0,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,0,1,1,0,0,0,1,1
1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
1,1,0,0,0,0,0,0,1,1,0,0,1,1,1
0,0,1,1,1,1,0,0,1,1,0,0,1,1,1
0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,1,1,0,0,1,1,1
1,0,0,0,1,1,0,0,1,1,0,0,1,1,1
1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,1,0,1
0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,1,1,0,0,1,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,0,0,1,0,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,1,1,0,0,1,1,1
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,0,0,1,1,0,0,0,1,1,0,0,1,1,1
0,0,0,1,1,1,0,0,1,1,0,0,1,1,1
1,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,0,1,1,0,0,1,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1,1
0,0,0,1,1,1,0,0,1,1,0,0,0,1,1
0,0,1,1,0,1,0,0,0,0,0,0,1,1,1
0,0,1,0,1,0,0,0,1,1,0,0,1,0,1
0,1,0,0,0,1,0,0,1,1,0,0,1,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,1,1,0,0,0,1,1
0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,1,0,0,0,1,1,0,0,1,1,1
0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,1,1,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,1,1,0,0,1,0,1
0,0,0,1,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,1,0,0,0,1,1
0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1,1,0,0,1,1,1
1,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,1,0,0,1,1,1
0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,1,1,0,0,1,0,1
1,0,0,1,1,1,0,0,1,1,0,0,0,1,1
0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,0,1,1,0,0,1,1,1
1,0,0,1,1,1,0,0,1,1,0,0,1,1,1
0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
